alert_id,review_priority,review_status,metric_name,service_date,hour_of_day,PULocationID,pickup_borough,pickup_zone,current_trip_count,observed_value,baseline_value,robust_z,relative_deviation,direction,investigation_prompt,interpretation_boundary,reviewer,review_notes,disposition
a_0a52ae20d307aa1c,high,pending,trip_volume,2026-01-01,0,4,Manhattan,Alphabet City,78,78.0,11.5,11.213408876298395,5.782608695652174,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_852ce5978bad5afd,high,pending,trip_volume,2026-01-01,1,4,Manhattan,Alphabet City,85,85.0,6.5,78.5,12.076923076923077,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_238919f39bd1d332,high,pending,trip_volume,2026-01-01,3,4,Manhattan,Alphabet City,84,84.0,2.5,54.97099689734251,32.6,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_fa6e693e3c12aecd,high,pending,trip_volume,2026-01-01,3,37,Brooklyn,Bushwick South,92,92.0,1.5,90.5,60.333333333333336,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_5445f8868d535d58,high,pending,trip_volume,2026-01-01,4,37,Brooklyn,Bushwick South,84,84.0,4.0,53.95926075812762,20.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_abc9d2008cb04427,high,pending,trip_volume,2026-01-01,1,41,Manhattan,Central Harlem,127,127.0,4.0,82.96236341562121,30.75,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_6f0516b20d97c4bc,high,pending,trip_volume,2026-01-01,0,43,Manhattan,Central Park,166,166.0,6.0,71.94568101083682,26.666666666666668,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_3a2476d7f0686c97,high,pending,trip_volume,2026-01-01,1,43,Manhattan,Central Park,99,99.0,2.5,96.5,38.6,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_08000210dfa9c51c,high,pending,trip_volume,2026-01-01,1,48,Manhattan,Clinton East,230,230.0,43.5,41.93084221412833,4.287356321839081,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_faac6afe1297ea60,high,pending,trip_volume,2026-01-01,2,48,Manhattan,Clinton East,291,291.0,28.5,25.29340348037232,9.210526315789474,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_69dc3ee321b81b65,high,pending,trip_volume,2026-01-01,3,48,Manhattan,Clinton East,251,251.0,22.0,77.22919196007015,10.409090909090908,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_809df792e5dfff27,high,pending,trip_volume,2026-01-01,4,48,Manhattan,Clinton East,182,182.0,23.5,35.63559512568011,6.74468085106383,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_09396783eb44dd35,high,pending,trip_volume,2026-01-01,0,50,Manhattan,Clinton West,105,105.0,10.0,25.630648860110618,9.5,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_9eb27d0ff6dc5128,high,pending,median_fare_per_mile,2026-01-01,1,50,Manhattan,Clinton West,145,9.756785714285714,5.134340301119714,12.145075006340612,0.9002997740835218,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_f6d869f855c866cd,high,pending,trip_volume,2026-01-01,1,50,Manhattan,Clinton West,145,145.0,7.0,46.53986240388507,19.714285714285715,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_a5eea1d159264bde,high,pending,trip_volume,2026-01-01,2,50,Manhattan,Clinton West,90,90.0,4.0,38.67080354332479,21.5,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_969afd1d67458a43,high,pending,trip_volume,2026-01-01,0,68,Manhattan,East Chelsea,200,200.0,47.5,17.143306803363462,3.210526315789474,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_55aff3bab1111f0f,high,pending,gross_fare_per_trip,2026-01-01,1,68,Manhattan,East Chelsea,203,43.17157635467979,24.406318373071528,16.065694492346577,0.7688688516950892,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_64b374eea04bd7a3,high,pending,trip_volume,2026-01-01,1,68,Manhattan,East Chelsea,203,203.0,21.5,40.80669094833401,8.44186046511628,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_f6aafeefb04ee4d5,high,pending,trip_volume,2026-01-01,2,68,Manhattan,East Chelsea,162,162.0,19.5,64.07662215027653,7.3076923076923075,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_e8e95b6b46f493a2,high,pending,trip_volume,2026-01-01,3,68,Manhattan,East Chelsea,187,187.0,10.5,59.523809523809526,16.80952380952381,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_036d41e9f2fc2e80,high,pending,trip_volume,2026-01-01,4,68,Manhattan,East Chelsea,116,116.0,7.5,73.18224740321058,14.466666666666667,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_d822610800d3518c,high,pending,trip_volume,2026-01-01,1,75,Manhattan,East Harlem South,91,91.0,6.0,85.0,14.166666666666666,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_2527990d9fb6c97c,high,pending,trip_volume,2026-01-01,0,79,Manhattan,East Village,432,432.0,81.5,22.51514392348063,4.300613496932515,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_8886a836d5e0b9a3,high,pending,trip_volume,2026-01-01,1,79,Manhattan,East Village,459,459.0,48.0,42.64856956075087,8.5625,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_14b49d3f43a37817,high,pending,trip_volume,2026-01-01,2,79,Manhattan,East Village,560,560.0,26.5,102.81166290878959,20.132075471698112,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_8bcd594f54c7b293,high,pending,trip_volume,2026-01-01,3,79,Manhattan,East Village,576,576.0,24.0,186.15944961554027,23.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_4a412a6115ab6321,high,pending,trip_volume,2026-01-01,4,79,Manhattan,East Village,326,326.0,16.0,83.63685417509781,19.375,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_351ec49e391d2cda,high,pending,trip_volume,2026-01-01,5,79,Manhattan,East Village,127,127.0,23.5,13.961958721165521,4.404255319148936,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_15e27847acbc1942,high,pending,trip_volume,2026-01-01,0,87,Manhattan,Financial District North,99,99.0,16.5,27.822743828409553,5.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_fe129bf58f227a95,high,pending,trip_volume,2026-01-01,1,87,Manhattan,Financial District North,130,130.0,8.0,54.858581770763074,15.25,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_3a5b49ac10235fde,high,pending,trip_volume,2026-01-01,2,87,Manhattan,Financial District North,90,90.0,2.5,87.5,35.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_b121de1385c272e6,high,pending,trip_volume,2026-01-01,3,87,Manhattan,Financial District North,90,90.0,2.5,87.5,35.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_b471352691801998,high,pending,trip_volume,2026-01-01,0,90,Manhattan,Flatiron,184,184.0,35.5,33.38729259409146,4.183098591549296,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_86f59993a247d838,high,pending,trip_volume,2026-01-01,1,90,Manhattan,Flatiron,153,153.0,15.0,37.23188992310806,9.2,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_bd818a9e605228bb,high,pending,trip_volume,2026-01-01,2,90,Manhattan,Flatiron,169,169.0,6.5,73.06983227663115,25.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_05083591e23a8247,high,pending,trip_volume,2026-01-01,3,90,Manhattan,Flatiron,162,162.0,7.0,155.0,22.142857142857142,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_13cffc70782faf85,high,pending,trip_volume,2026-01-01,4,90,Manhattan,Flatiron,106,106.0,5.0,45.41571113809074,20.2,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_e3d31403bc5b6739,high,pending,trip_volume,2026-01-01,0,107,Manhattan,Gramercy,232,232.0,36.5,43.95431449255812,5.3561643835616435,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_6e17137ab801ff0b,high,pending,trip_volume,2026-01-01,1,107,Manhattan,Gramercy,256,256.0,15.5,108.1433517694141,15.516129032258064,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_54940f7dd54ba9a9,high,pending,trip_volume,2026-01-01,2,107,Manhattan,Gramercy,245,245.0,9.0,106.1198794909843,26.22222222222222,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_0d59f5fc09e5f1db,high,pending,median_fare_per_mile,2026-01-01,3,107,Manhattan,Gramercy,199,8.178146258503402,4.536410860940269,14.338909808351893,0.80277900507634,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_2c33fd846de17562,high,pending,trip_volume,2026-01-01,3,107,Manhattan,Gramercy,199,199.0,6.5,86.55964746616304,29.615384615384617,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_c7ef97203862e8fa,high,pending,trip_volume,2026-01-01,4,107,Manhattan,Gramercy,118,118.0,8.0,110.0,13.75,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_12cd441bf51160e3,high,pending,trip_volume,2026-01-01,0,113,Manhattan,Greenwich Village North,132,132.0,32.0,22.483025315886504,3.125,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_33607043275f788e,high,pending,trip_volume,2026-01-01,1,113,Manhattan,Greenwich Village North,109,109.0,11.5,18.789385442562295,8.478260869565217,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_88d8de7f80e9c65b,high,pending,trip_volume,2026-01-01,2,113,Manhattan,Greenwich Village North,117,117.0,9.0,72.84500202347228,12.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_9a6a38afbde48066,high,pending,trip_volume,2026-01-01,3,113,Manhattan,Greenwich Village North,117,117.0,1.0,116.0,116.0,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_ec1b9f50849ad44a,high,pending,trip_volume,2026-01-01,0,114,Manhattan,Greenwich Village South,262,262.0,80.5,11.65905455666686,2.2546583850931676,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
a_beeab5335f10a599,high,pending,gross_fare_per_trip,2026-01-01,1,114,Manhattan,Greenwich Village South,184,45.93429347826087,24.874119047619043,17.613817486964546,0.8466701630849399,high,Review source records and operational context for this zone-hour deviation.,"Investigation prompt only. This alert does not establish cause, fraud, fault, or a prescribed action.","","",""
